event_id,event_date,area,establishment_name,reported_observation,reported_action,reported_quantity,reported_authority,display_summary,action_category,establishment_context,menu_context,business_format,latitude,longitude,location_precision,source_urls,verification_status,context_notice,generated_at,schema_version,pipeline_version,record_count,publication_status,source_availability,source_availability_reason,evidence_support_status,last_successful_evidence_check_at,first_published_at
WBFS-13cb858f9dfe,,Park Street,Kareem’s,visited by KMC teams,visited by KMC teams,,KMC,Source reports an inspection or visit involving Kareem’s in Park Street.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5551591,88.3501171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-1724bbaec9d9,,ডেকার্স লেন,,কলকাতা পুরসভার স্বাস্থ্য দফতরের একটি দল ডেকার্স লেনের দুই পাশের অন্তত ১৩টি দোকান থেকে বিভিন্ন খাদ্যসামগ্রীর নমুনা সংগ্রহ করে।,নমুনা সংগ্রহ করে,১৩টি,কলকাতা পুরসভার স্বাস্থ্য দফতরের একটি দল,Source reports a source-reported food-safety event involving an unnamed establishment in ডেকার্স লেন.,not reported,unknown,unknown,unknown,,,,https://bengali.indianexpress.com/west-bengal/kolkata-dacres-lane-food-safety-raid-stale-laddus-makha-sandesh-12498296,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-09 23:11:25.626009+00:00
WBFS-1a671ff0cb00,,South City Mall,Warehouse Cafe,inspection team suggested them,,,,Source reports an inspection or visit involving Warehouse Cafe in South City Mall.,inspection / visit only,mall / food court,unknown,unknown,22.5015843,88.36171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-inspectors-knock-on-mall-eatery-doors-discards-meat-in-a-central-kolkata-restaurant/articleshow/133844089.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-1dce1dc6b528,,South City Mall,Veneto,inspection team suggested them,,,,Source reports an inspection or visit involving Veneto in South City Mall.,inspection / visit only,mall / food court,unknown,unknown,22.5015843,88.36171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-inspectors-knock-on-mall-eatery-doors-discards-meat-in-a-central-kolkata-restaurant/articleshow/133844089.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-1e3ff92096f4,,Sonarpur,,inspection was also carried out,inspection was also carried out,,,Source reports an inspection or visit involving restaurant / eatery in Sonarpur.,inspection / visit only,restaurant / eatery,unknown,unknown,22.4441922,88.4325557,city,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-22a7207f8823,,Hooghly,,sweet shop in Hooghly was also found,,,,Source reports a source-reported food-safety event involving sweet shop / bakery in Hooghly.,not reported,sweet shop / bakery,unknown,unknown,,,,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-236ee7e08350,,East Midnapore,,authorities detected problems,,,,Source reports a source-reported food-safety event involving restaurant / eatery in East Midnapore.,not reported,restaurant / eatery,unknown,unknown,,,,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-2a87be3b1aee,,Kamalgazi,,inspection was also carried out,inspection was also carried out,,,Source reports an inspection or visit involving sweet shop / bakery in Kamalgazi.,inspection / visit only,sweet shop / bakery,unknown,unknown,22.4495236,88.3955392,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-2d6ba057efa8,,Dacres Lane,Suruchi,the team visited,the team visited,,,Source reports an inspection or visit involving Suruchi in Dacres Lane.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5669959,88.3496854,street,https://timesofindia.indiatimes.com/city/kolkata/kmc-cracks-whip-on-dacres-lane-eateries/articleshow/133811497.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-323ec48706a8,,Kolkata,Metropolis at Hiland Park,food safety drive reached,,,Kolkata Municipal Corporation,Source reports an inspection or visit involving Metropolis at Hiland Park in Kolkata.,inspection / visit only,mall / food court,unknown,unknown,,,,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-inspectors-knock-on-mall-eatery-doors-discards-meat-in-a-central-kolkata-restaurant/articleshow/133844089.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
